文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
yet_another_config_lib_v3-3.9.4+26.1-fabric.jar,YetAnotherConfigLib (YACL),3.9.4+26.1-fabric,2026/06/04 下午 11:42:55,yet_another_config_lib_v3,1eAoo2KR,1121124,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\yet_another_config_lib_v3-3.9.4+26.1-fabric.jar
voxy-0.2.16-beta.jar,voxy,0.2.16-beta,2026/05/25 下午 3:54:20,voxy,fxxUqruK,12639617,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\voxy-0.2.16-beta.jar
vmp-fabric-mc26.1.2-0.2.0+beta.7.234-all.jar,Very Many Players (Fabric),0.2.0+beta.7.234+26.1.2,2026/04/09 下午 8:17:55,vmp,wnEe9KBa,412393,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\vmp-fabric-mc26.1.2-0.2.0+beta.7.234-all.jar
vanilla-refresh-1.4.31.jar,Vanilla Refresh,1.4.31,2026/05/26 上午 12:46:42,mr_vanilla_refresh,gWO6Zqey,1162752,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\vanilla-refresh-1.4.31.jar
undergroundbeacons-26.1.2-1.1.jar,Underground Beacons,1.1,2026/04/10 上午 6:16:44,undergroundbeacons,SMC0xf5E,31966,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\undergroundbeacons-26.1.2-1.1.jar
transcendingtrident-26.1.2-5.0.jar,Transcending Trident,5.0,2026/04/10 上午 6:18:23,transcendingtrident,7GxZi46W,45080,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\transcendingtrident-26.1.2-5.0.jar
TerraBlender-fabric-26.1.2-26.1.2.0.2.jar,TerraBlender,26.1.2.0.2,2026/05/06 上午 11:17:49,terrablender,kkmrDlKT,341127,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\TerraBlender-fabric-26.1.2-26.1.2.0.2.jar
tectonic-3.0.22-fabric-26.1.jar,Tectonic,3.0.22,2026/04/10 下午 12:59:01,tectonic,lWDHr9jE,334248,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\tectonic-3.0.22-fabric-26.1.jar
tcdcommons-5.3.1+fn-26.1.jar,TCDCommons API,5.3.1+fabric-26.1,2026/05/28 下午 4:06:50,tcdcommons,Eldc1g37,527893,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\tcdcommons-5.3.1+fn-26.1.jar
superfastmath-0.0.4-26.1.2.jar,Super Fast Math,0.0.4-26.1.2,2026/04/11 下午 7:46:22,superfastmath,rIQr6J6I,2143607,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\superfastmath-0.0.4-26.1.2.jar
sounds-2.5.0+lts+26.1.2-fabric.jar,Sounds,2.5.0+lts,2026/05/27 上午 8:47:20,sounds,ZouiUX7t,8316136,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\sounds-2.5.0+lts+26.1.2-fabric.jar
SodiumExtraInformation-fabric-2.9.0.jar,Sodium Extra Information,2.9.0,2026/05/01 下午 12:57:37,sodiumextrainformation,696WgnvT,64206,D:\.minecraft\versions\xiaozi craft 26.1.2\mods\SodiumExtraInformation-fabric-2.9.0.jar
